BEGIN_CHIPLET 06C4 28 28

A01,SIG
A02,SIG
A03,SIG
A04,SIG
A05,GROUND
A06,SIG
A07,SIG
A08,SIG
A09,SIG
A10,GROUND
A11,SIG
A12,SIG
A13,SIG
A14,SIG
A15,GROUND
A16,SIG
A17,SIG
A18,SIG
A19,SIG
A20,GROUND
A21,SIG
A22,SIG
A23,SIG
A24,SIG
A25,GROUND
A26,SIG
A27,SIG
A28,SIG

B01,SIG
B02,POWER_3
B03,SIG
B04,SIG
B05,SIG
B06,SIG
B07,GROUND
B08,SIG
B09,SIG
B10,SIG
B11,SIG
B12,POWER_2
B13,SIG
B14,SIG
B15,SIG
B16,SIG
B17,GROUND
B18,SIG
B19,SIG
B20,SIG
B21,SIG
B22,POWER_1
B23,SIG
B24,SIG
B25,SIG
B26,SIG
B27,GROUND
B28,SIG

C01,SIG
C02,SIG
C03,SIG
C04,GROUND
C05,SIG
C06,SIG
C07,SIG
C08,SIG
C09,POWER_3
C10,SIG
C11,SIG
C12,SIG
C13,SIG
C14,GROUND
C15,SIG
C16,SIG
C17,SIG
C18,SIG
C19,POWER_1
C20,SIG
C21,SIG
C22,SIG
C23,SIG
C24,GROUND
C25,SIG
C26,SIG
C27,SIG
C28,SIG

D01,GROUND
D02,SIG
D03,SIG
D04,SIG
D05,SIG
D06,POWER_3
D07,SIG
D08,SIG
D09,SIG
D10,SIG
D11,GROUND
D12,SIG
D13,SIG
D14,SIG
D15,SIG
D16,POWER_2
D17,SIG
D18,SIG
D19,SIG
D20,SIG
D21,GROUND
D22,SIG
D23,SIG
D24,SIG
D25,SIG
D26,POWER_1
D27,SIG
D28,SIG

E01,SIG
E02,SIG
E03,POWER_3
E04,SIG
E05,SIG
E06,SIG
E07,SIG
E08,GROUND
E09,SIG
E10,SIG
E11,SIG
E12,SIG
E13,POWER_1
E14,SIG
E15,SIG
E16,SIG
E17,SIG
E18,GROUND
E19,SIG
E20,SIG
E21,SIG
E22,SIG
E23,POWER_3
E24,SIG
E25,SIG
E26,SIG
E27,SIG
E28,GROUND

F01,SIG
F02,SIG
F03,SIG
F04,SIG
F05,GROUND
F06,SIG
F07,SIG
F08,SIG
F09,SIG
F10,POWER_1
F11,SIG
F12,SIG
F13,SIG
F14,SIG
F15,GROUND
F16,SIG
F17,SIG
F18,SIG
F19,SIG
F20,POWER_3
F21,SIG
F22,SIG
F23,SIG
F24,SIG
F25,GROUND
F26,SIG
F27,SIG
F28,SIG

G01,SIG
G02,GROUND
G03,SIG
G04,SIG
G05,SIG
G06,SIG
G07,POWER_1
G08,SIG
G09,SIG
G10,SIG
G11,SIG
G12,GROUND
G13,SIG
G14,SIG
G15,SIG
G16,SIG
G17,POWER_1
G18,SIG
G19,SIG
G20,SIG
G21,SIG
G22,GROUND
G23,SIG
G24,SIG
G25,SIG
G26,SIG
G27,POWER_1
G28,SIG

H01,SIG
H02,SIG
H03,SIG
H04,POWER_1
H05,SIG
H06,SIG
H07,SIG
H08,SIG
H09,GROUND
H10,SIG
H11,SIG
H12,SIG
H13,SIG
H14,POWER_1
H15,SIG
H16,SIG
H17,SIG
H18,SIG
H19,GROUND
H20,SIG
H21,SIG
H22,SIG
H23,SIG
H24,POWER_1
H25,SIG
H26,SIG
H27,SIG
H28,SIG

I01,GROUND
I02,SIG
I03,SIG
I04,SIG
I05,SIG
I06,GROUND
I07,SIG
I08,SIG
I09,SIG
I10,SIG
I11,POWER_1
I12,SIG
I13,SIG
I14,SIG
I15,SIG
I16,GROUND
I17,SIG
I18,SIG
I19,SIG
I20,SIG
I21,POWER_1
I22,SIG
I23,SIG
I24,SIG
I25,SIG
I26,GROUND
I27,SIG
I28,SIG

J01,SIG
J02,SIG
J03,GROUND
J04,SIG
J05,SIG
J06,SIG
J07,SIG
J08,POWER_1
J09,SIG
J10,SIG
J11,SIG
J12,SIG
J13,GROUND
J14,SIG
J15,SIG
J16,SIG
J17,SIG
J18,POWER_1
J19,SIG
J20,SIG
J21,SIG
J22,SIG
J23,GROUND
J24,SIG
J25,SIG
J26,SIG
J27,SIG
J28,GROUND

K01,SIG
K02,SIG
K03,SIG
K04,SIG
K05,POWER_1
K06,SIG
K07,SIG
K08,SIG
K09,SIG
K10,GROUND
K11,SIG
K12,SIG
K13,SIG
K14,SIG
K15,POWER_3
K16,SIG
K17,SIG
K18,SIG
K19,SIG
K20,GROUND
K21,SIG
K22,SIG
K23,SIG
K24,SIG
K25,POWER_2
K26,SIG
K27,SIG
K28,SIG

L01,SIG
L02,POWER_1
