MAX_CURRENT = 0.95 A
SERIES_RESISTANCE = 80 mOhm
SERIES_INDUCTANCE = 180 nH
SHUNT_CAPACITANCE = 35 pF
BEGIN_CHIPLET 02CPU 18 20
A01,GROUND
A02,POWER_1
A03,GROUND
A04,POWER_1
A05,GROUND
A06,POWER_1
A07,GROUND
A08,POWER_1
A09,GROUND
A10,POWER_1
A11,GROUND
A12,POWER_1
A13,GROUND
A14,POWER_1
A15,GROUND
A16,POWER_1
A17,GROUND
A18,POWER_1
B01,POWER_1
B02,GROUND
B03,POWER_1
B04,GROUND
B05,POWER_1
B06,GROUND
B07,POWER_1
B08,GROUND
B09,POWER_1
B10,GROUND
B11,POWER_1
B12,GROUND
B13,POWER_1
B14,GROUND
B15,POWER_1
B16,GROUND
B17,POWER_1
B18,GROUND
C01,GROUND
C02,POWER_1
C03,GROUND
C04,POWER_1
C05,GROUND
C06,POWER_1
C07,GROUND
C08,POWER_1
C09,GROUND
C10,POWER_1
C11,GROUND
C12,POWER_1
C13,GROUND
C14,POWER_1
C15,GROUND
C16,POWER_1
C17,GROUND
C18,POWER_1
D01,POWER_1
D02,GROUND
D03,SIG
D04,GROUND
D05,POWER_1
D06,GROUND
D07,SIG
D08,GROUND
D09,POWER_1
D10,GROUND
D11,POWER_1
D12,SIG
D13,POWER_1
D14,GROUND
D15,POWER_1
D16,SIG
D17,POWER_1
D18,GROUND
E01,GROUND
E02,POWER_1
E03,GROUND
E04,POWER_1
E05,GROUND
E06,SIG
E07,GROUND
E08,POWER_1
E09,GROUND
E10,POWER_1
E11,GROUND
E12,POWER_1
E13,GROUND
E14,SIG
E15,GROUND
E16,POWER_1
E17,GROUND
E18,POWER_1
F01,POWER_1
F02,GROUND
F03,SIG
F04,GROUND
F05,POWER_1
F06,GROUND
F07,POWER_1
F08,GROUND
F09,POWER_1
F10,GROUND
F11,SIG
F12,GROUND
F13,POWER_1
F14,GROUND
F15,POWER_1
F16,GROUND
F17,POWER_1
F18,GROUND
